code_new,metrics,definitions
qec03_01,Ratio of text to 911 calls,[Text to 911 calls] divided by [911 calls].
qec04,Outgoing calls,"Total number of outgoing calls made from the emergency communications center in the fiscal year. This includes, but is not limited to, callbacks to 911 hang-ups, calls for additional resources such as tow trucks, callbacks to callers who are unable to be located, etc."
qec04_01,Ratio of outgoing to 911 calls,[Outgoing calls] divided by [911 calls].
qec05,Percentage 911 calls answered within 10 seconds,Percentage of incoming 911 calls in the fiscal year answered within 10 seconds of the initial ring. This corresponds to the state statutory requirement standard for PSAP 911 Call Operating Procedures (09 NCAC 06C.0209).
qec06,Percentage 911 calls answered within 20 seconds,Percentage of incoming 911 calls in the fiscal year answered within 20 seconds of the initial ring. This corresponds to the state statutory requirement standard for PSAP 911 Call Operating Procedures (09 NCAC 06C.0209).
qec07,Percentage administrative calls answered within 20 seconds,"Percentage of 7-digit, agency line, or general administrative line calls answered within 20 seconds. These are business-related calls outside the scope of law, fire, and EMS."
qec08,Calls for service dispatched,Total number of calls for service dispatched (total CAD entries) in the fiscal year. This includes self-initiated events when the telecommunicator makes the call. It is not broken down by service agency.
qec08_01,Total expenses per call dispatched,[Total expenses for emergency communications] divided by [Calls for service dispatched].
qec09,Calls dispatched to fire resources,Total number of calls dispatched to fire/rescue resources in the fiscal year.
qec09_01,Fire dispatches as a percentage of total dispatches,[Calls dispatched to fire resources] divided by [Calls for service dispatched] and multiplied by 100.
qec10,Calls dispatched to EMS resources,"Total number of calls dispatched to EMS resources, including requests for stand-bys and calls dispatched to private ambulance resources, in the fiscal year."
qec10_01,EMS dispatches as a percentage of total dispatches,[Calls dispatched to EMS resources] divided by [Calls for service dispatched] and multiplied by 100.
qec11,Calls dispatched to law enforcement resources,"Total number of calls dispatched to law enforcement resources in the fiscal year, including, but not limited to, calls for special teams, calls for animal control, self-initiated calls, fire and EMS assist calls, etc."
qec11_01,Law enforcement dispatches as a percentage of total dispatches,[Calls dispatched to law enforcement resources] divided by [Calls for service dispatched] and multiplied by 100.
qec12,Animal control dispatches,Total number of animal control dispatches in the fiscal year.
qec12_01,Animal control dispatches as a percentage of total dispatches,[Animal control dispatches] divided by [Calls for service dispatched] and multiplied by 100.
qec13,911 hang-ups dispatched,Total number of 911 hang-up calls dispatched in the fiscal year. This includes open lines and pocket dials.
qec13_01,911 hang-up dispatches as a percentage of total dispatches,[911 hang-ups dispatched] divided by [Calls for service dispatched] multiplied by 100.
qec14,Percentage high-priority fire calls answered and dispatched within 60 seconds,"Percentage of high-priority fire calls in the fiscal year that were answered and dispatched within 60 seconds. These calls include, but are not limited to, situations in which there is an imminent threat to life and/or in which significant property loss/damage is likely or actively occurring (structure fires or person on fire). This does not include HAZMAT calls, technical rescue calls, TTY/TDD calls, or calls requiring language translation."
qec15,Percentage fire alarms answered and dispatched within 90 seconds. ,"Percentage of high-priority fire alarms in the fiscal year answered and dispatched within 90 seconds. According to NFPA 1221, this metric pertains to the highest prioritization levels: imminent threat to life or significant property loss/damage, trauma (penetrating chest injury, GSW, etc.), neurologic emergencies (stroke, seizure), cardiac-related events, unconscious/unresponsive patients, allergic reactions, or patients not breathing, choking; fire involving or potentially extending to a structure, explosion. Exempt from these requirements: language translation, TTY/TDD, incomplete location, SMS message to 911, calls received from outside normal service area, calls requiring determination of appropriate psap/transfer location, calls received during a significant disaster that depletes available resources, impacts local infrastructure, or deemed ""disaster mode."""
qec16,Percentage high-priority EMS calls answered and dispatched within 90 seconds,Percentage of high-priority (lights and siren) EMS calls in the fiscal year answered and dispatched within 90 seconds. NC Office of Emergency Medical Services (EMS) requires that 90 percent of all EMS events identified and classified as an emergent or hot response (with lights and siren) must be dispatched within 90 seconds.
qec17,Median time from problem description to HOC (optional),Median time in seconds in the fiscal year from when a telecommunicator identifies the problem description as cardiac arrest to positioning the patient to HOC (Hands on Chest) or providing CPR instructions. American Heart Association recommends this time to be under 120 seconds.
qec18,Median time from answer to dispatch for high-priority law enforcement calls,"Median time in seconds from answer to dispatch for law enforcement high-priority calls in the fiscal year. High-priority calls are limited to in-progress shootings (including terrorist threats), bomb threats, stabbings, traffic accidents involving injury or death, burglaries and entrances (B&E), armed robberies, active abductions, physical and sexual assaults, domestic violence and abuse, and motor vehicle thefts."
qec19,Percentage of high-priority law enforcement calls answered and dispatched within 60 seconds,"Percentage of high-priority law enforcement calls answered and dispatched within 60 seconds. High-priority calls are limited to in-progress shootings (including terrorist threats), bomb threats, stabbings, traffic accidents involving injury or death, burglaries and entrances (B&E), armed robberies, active abductions, physical and sexual assaults, domestic violence and abuse, and motor vehicle thefts."
qec20,Dispatches assigned a report,Total number of dispatches assigned (or requested) a report number in the fiscal year.
qec20_01,Percentage of dispatches assigned a report,[Dispatches assigned a report] divided by [Calls for service dispatched] and multiplied by 100.
qec21,Alarm calls assigned a report,"Total number of alarm calls (fire, burglary, medical alarms, etc.) assigned (or requested) a report number in the fiscal year."
qec22,Number of fire agencies,"Total number of volunteer, jurisdiction, and town fire departments for which the Public Safety Answering Point (PSAP) provides dispatch services."
qec23,Number of EMS agencies,"Total number of volunteer, jurisdiction, and town EMS and rescue agencies for which the Public Safety Answering Point (PSAP) provides dispatch services."
qec24,Number of law enforcement agencies,Total number of law enforcement agencies for which the Public Safety Answering Point (PSAP) provides dispatch services.
qec25,Calls reviewed for EPD quality assurance,Total number of police dispatch calls reviewed for EPD (Emergency Police Department) protocol compliance in the fiscal year.
qec25_01,Percentage of EPD calls reviewed for quality assurance,[Calls reviewed for EPD quality assurance] divided by [Number of law enforcement agencies] and multiplied by 100.
qec26,Calls reviewed for EMD quality assurance,Total number of medical calls reviewed to ensure Emergency Medical Dispatch (EMD) protocol compliance in the fiscal year.
qec26_01,Percentage of EMD calls reviewed for quality assurance,[Calls reviewed for EMD quality assurance] divided by [Number of EMS agencies] and multiplied by 100.
qec27,Calls reviewed for EFD quality assurance,Total number of police dispatch calls reviewed for EFD (Emergency Fire Department)  protocol compliance in the fiscal year.
qec27_01,Percentage of EFD calls reviewed for quality assurance,[Calls reviewed for EFD quality assurance] divided by [Number of fire agencies] and multiplied by 100.
qec28,Administrative calls reviewed for quality assurance,"Total number of administrative calls (7-digit, agency line, or general administrative line calls) reviewed for quality assurance in the fiscal year. These are business-related calls outside the scope of law, fire, and EMS."
qec28_01,Percentage of administrative calls reviewed for quality assurance,[Administrative calls reviewed for quality assurance] divided by [Administrative calls] and multiplied by 100.
qec29,Information requests (optional),"Total number of requests received in the fiscal year for Computer-Aided Dispatch (CAD) reports, telephone-call recordings, radio recordings, etc."
qec30,Telecommunicators hired,Total number of telecommunicators hired in the fiscal year.
qec30_01,Telecommunicators hired as a percentage of telecommunicators approved,[Telecommunicators hired] divided by [Approved telecommunicator FTEs] and multiplied by 100.
qec31,Approved NC 911 Board-funded seat count,Total number of seats funded by the NC 911 Board (the approved seat count).
qec31_01,Approved NC 911 Board-funded seat count as a percentage of approved telecommunicators,[Approved NC 911 Board-funded seat count] divided by [Approved telecommunicator FTEs] and multiplied by 100.
qec32,Non-funded seat count,Total number of seats NOT funded by the NC 911 Board.
qec32_01,Ratio of funded to non-funded seat count,[Non-funded seat count] divided by [Approved NC 911 Board-funded seat count].
qec33,Call-taking-only positions,Total number of positions in the emergency communications center designated to only take calls. These positions do not have dispatch capability.
qec34,Dispatch positions,Total number of dispatch positions in the emergency communications center. These positions may include dispatch-capable and call-taking positions.
qec35,Hours of mandatory training,"Total number of hours of mandatory in-service training the agency provides for all emergency communications center employees (specifically, telecommunicators and dispatchers). This metric reflects the total hours provided for each employee; for example, if there are 10 employees and each  has 24 hours of mandatory training each calendar year, the total is 240 hours of in-service training."
qec35_01,Hours of mandatory training per approved telecommunicator,[Hours of mandatory training] divided by [Approved telecommunicator FTEs].
qec36,Hours of optional training ,"Total number of hours of training outside of mandatory in-service training. This includes, but is not limited to, conferences, symposiums, and webinars. This metric reflects the total number of additional training hours attended by the entire agency; for example, if five employees attend a 10-hour training, the total is 50 hours of optional training."
qec36_01,Hours of optional training per approved telecommunicator,[Hours of optional training] divided by [Approved telecommunicator FTEs].
qec37,Approved administrative FTEs,"Total number of administrative (non-telecommunicator) personnel approved for full-time equivalent (FTE) positions, filled or unfilled, in the fiscal year. This includes all regularly scheduled full-time positions and regular part-time positions eligible for full benefits (but does not include seasonal or part-time positions not eligible for full benefits)."
qec38,Approved telecommunicator FTEs,"Total number of telecommunicator personnel approved for full-time equivalent (FTE) positions, filled or unfilled, in the fiscal year. This includes regularly scheduled full-time positions and regular part-time positions eligible for full benefits (but does not include seasonal or part-time positions not eligible for full benefits)."
qec38_01,Ratio of telecommunicator to administrative FTE,[Approved telecommunicator FTEs] divided by [Approved administrative FTEs].
qec38_02,Approved telecommunicator FTE per capita,"[Approved telecommunicator FTEs] divided by [Population, 2020]."
qec39,Annual distribution amount from NC 911 Board,Total annual PSAP distribution amount received from the NC 911 Board in the fiscal year.
qec39_01,Annual distribution amount from NC 911 Board as a percentage of total expenses,[Annual distribution amount from NC 911 Board] divided by [Total expenses for emergency communications] and multiplied by 100.
qec40,Personnel expenses for Emergency Communications,"Total amount of personnel expenses for emergency communications in the fiscal year. This  includes gross earnings (all salaries and wages) of permanent and temporary employees subject to the Federal Insurance Contributions Act (FICA), the unit’s share of overtime and holiday pay, longevity pay, allowances, supplemental retirement income, Social Security taxes, retirement contributions, hospital and medical insurance, disability insurance, unemployment compensation, workers’ compensation contributions, deferred compensation, and other benefits."
qec41,Operational expenses for Emergency Communications,"Total amount of operational expenses for emergency communications in the fiscal year. This includes non-capital outlay for equipment, tools, and software; expenses related to property or materials purchased for resale or the cost of goods sold; fees for training, travel, property maintenance, repairs, licenses, advertising, purchases, rentals, memberships, dues, utilities, data management/processing, MIS and GIS technologies, contracted services, contract administration, fuel, fleet maintenance, special programs, and sublet work; and all other operating expenses."
qec41_01,Personnel expenses as a percentage of total emergency communications expenses,[Personnel expenses for Emergency Communications] divided by [Total expenses for emergency communications] and multiplied by 100.
qec41_02,Expenses for emergency communications per capita,"[Operational expenses for Emergency Communications] divided by [Population, 2020]."
qec41_03,Total expenses for emergency communications,[Personnel expenses for Emergency Communications] + [Operational expenses for Emergency Communications].
qfm01,Count of class 0 vehicles,"Total number of active non-self-propelled vehicles (e.g., trailers, rail chassis, etc.) as well as ATVs, two-wheelers, side-by-side motorcycles, lawn mowers, etc. maintained in the fiscal year."
qfm02,Count of class 1 vehicles,"Total number of active light duty vehicles including cars, light-duty pickup trucks, and minivans with a GVWR over 6,000 lbs. or less and 4 tires only maintained in the fiscal year."
qfm03,Count of class 2 vehicles,"Total number of active light duty vehicles including SUVs, standard-size pickup trucks, and vans with a GVWR of 6,001 to 10,000 lbs. and 4 tires only maintained in the fiscal year."
qfm04,Count of class 3 vehicles,"Total number of active medium duty vehicles including flat bed trucks, box trucks and extended bed cargo vans with a GVWR of 10,001 to 14,000 lbs. and 6 tires or more, maintained in the fiscal year."
qfm05,Count of class 4 vehicles,"Total number of active medium duty vehicles including delivery vans, small buses, and conversion vans about the size of an ambulance with a GVWR or 14,001 to 16,001 lbs. and 6 tires or more, maintained in the fiscal year."
qfm06,Count of class 5 vehicles,"Total number of active medium duty vehicles including RVs, dump trucks, or medium-size refrigerated trucks with a GVWR of 16,001 to 19,500 lbs. and 6 tires or more maintained in the fiscal year."
qfm07,Count of class 6 vehicles,"Total number of active medium duty vehicles including buses, and medium size cargo or delivery trucks with a GVWR of 19,501 to 26,000 lbs. and 6 tires or more, maintained in the fiscal year."
qfm08,Count of class 7 vehicles,"Total number of active heavy duty vehicles includes large delivery trucks and tractor-tailer combinations with a GVWR of 26,001 to 33,000 lbs. and 6 tires or more, maintained in the fiscal year."
qfm09,Count of class 8 vehicles,"Total number of active heavy duty includes motor coaches, all tractor-tailer combinations, refuse trucks, and construction vehicles with a GVWR of 33,001 or more and 10 or more tires maintained in the fiscal year."
qfm10,Count of class 9 vehicles,Total count of active off-road and construction equipment in the fiscal year.
qfm11,Labor hours for class 0 vehicles,"Total number of in-shop labor hours spent to repair all active non-self-propelled vehicles (e.g., trailers, rail chassis, etc.) as well as ATVs, two-wheelers, side-by-side motorcycles, lawn mowers, etc. in the fiscal year."
qfm12,Labor hours for class 1 vehicles,"Total number of in-shop labor hours spent to repair all active light duty vehicles including cars, light-duty pickup trucks, and minivans with a GVWR over 6,000 lbs. or less and 4 tires only in the fiscal year."
qfm13,Labor hours for class 2 vehicles,"Total number of in-shop labor hours spent to repair all active light duty vehicles including SUVs, standard-size pickup trucks, and vans with a GVWR of 6,001 to 10,000 lbs. and 4 tires only in the fiscal year."
qfm14,Labor hours for class 3 vehicles,"Total number of in-shop labor hours spent to repair all active medium duty vehicles including flat bed trucks, box trucks and extended bed cargo vans with a GVWR of 10,001 to 14,000 lbs. and 6 tires or more, in the fiscal year."
qfm15,Labor hours for class 4 vehicles,"Total number of in-shop labor hours spent to repair all active medium duty vehicles including delivery vans, small buses, and conversion vans about the size of an ambulance with a GVWR or 14,001 to 16,001 lbs. and 6 tires or more, in the fiscal year."
qfm16,Labor hours for class 5 vehicles,"Total number of in-shop labor hours spent to repair all active medium duty vehicles including RVs, dump trucks, or medium-size refrigerated trucks with a GVWR of 16,001 to 19,500 lbs. and 6 tires or more in the fiscal year."
qfm17,Labor hours for class 6 vehicles,"Total number of in-shop labor hours spent to repair all active medium duty vehicles including buses, and medium size cargo or delivery trucks with a GVWR of 19,501 to 26,000 lbs. and 6 tires or more, in the fiscal year."
qfm18,Labor hours for class 7 vehicles,"Total number of in-shop labor hours spent to repair all active heavy duty vehicles includes large delivery trucks and tractor-tailer combinations with a GVWR of 26,001 to 33,000 lbs. and 6 tires or more, in the fiscal year."
qfm19,Labor hours for class 8 vehicles,"Total number of in-shop labor hours spent to repair all active heavy duty includes motor coaches, all tractor-tailer combinations, refuse trucks, and construction vehicles with a GVWR of 33,001 or more and 10 or more tires in the fiscal year."
qfm20,Labor hours for class 9 vehicles,Total number of in-shop labor hours spent to repair all active off-road and construction equipment in the fiscal year.
qfm21,Repairs on class 0 vehicles,"Total number of repairs made to non-self-propelled vehicles (e.g., trailers, rail chassis, etc.) as well as ATVs, two-wheelers, side-by-side motorcycles, lawn mowers, etc. in the fiscal year. This metric only includes repairs made due to failure; it does NOT include planned maintenances. One work order might include multiple repairs."
qfm22,Repairs on class 1 vehicles,"Total number of repairs made to active light duty vehicles including cars, light-duty pickup trucks, and minivans with a GVWR over 6,000 lbs. or less and 4 tires only in the fiscal year. This metric only includes repairs made due to failure; it does NOT include planned maintenances. One work order might include multiple repairs."
qfm23,Repairs on class 2 vehicles,"Total number of repairs made to active light duty vehicles including SUVs, standard-size pickup trucks, and vans with a GVWR of 6,001 to 10,000 lbs. and 4 tires only in the fiscal year. This metric only includes repairs made due to failure; it does NOT include planned maintenances. One work order might include multiple repairs."
qfm24,Repairs on class 3 vehicles,"Total number of repairs made to active medium duty vehicles including flat bed trucks, box trucks and extended bed cargo vans with a GVWR of 10,001 to 14,000 lbs. and 6 tires or more, in the fiscal year. This metric only includes repairs made due to failure; it does NOT include planned maintenances. One work order might include multiple repairs."
qfm25,Repairs on class 4 vehicles,"Total number of repairs made to active medium duty vehicles including delivery vans, small buses, and conversion vans about the size of an ambulance with a GVWR or 14,001 to 16,001 lbs. and 6 tires or more, in the fiscal year. This metric only includes repairs made due to failure; it does NOT include planned maintenances. One work order might include multiple repairs."
qfm26,Repairs on class 5 vehicles,"Total number of repairs made to active medium duty vehicles including RVs, dump trucks, or medium-size refrigerated trucks with a GVWR of 16,001 to 19,500 lbs. and 6 tires or more in the fiscal year. This metric only includes repairs made due to failure; it does NOT include planned maintenances. One work order might include multiple repairs."
qfm27,Repairs on class 6 vehicles,"Total number of repairs made to active medium duty vehicles including buses, and medium size cargo or delivery trucks with a GVWR of 19,501 to 26,000 lbs. and 6 tires or more, in the fiscal year. This metric only includes repairs made due to failure; it does NOT include planned maintenances. One work order might include multiple repairs."
qfm28,Repairs on class 7 vehicles,"Total number of repairs made to active heavy duty vehicles includes large delivery trucks and tractor-tailer combinations with a GVWR of 26,001 to 33,000 lbs. and 6 tires or more, in the fiscal year. This metric only includes repairs made due to failure; it does NOT include planned maintenances. One work order might include multiple repairs."
qfm29,Repairs on class 8 vehicles,"Total number of repairs made to active heavy duty includes motor coaches, all tractor-tailer combinations, refuse trucks, and construction vehicles with a GVWR of 33,001 or more and 10 or more tires in the fiscal year. This metric only includes repairs made due to failure; it does NOT include planned maintenances. One work order might include multiple repairs."
qfm30,Repairs on class 9 vehicles,Total number of repairs made to active off-road and construction equipment in the fiscal year. This metric only includes repairs made due to failure; it does NOT include planned maintenances. One work order might include multiple repairs.
qfm31,Class 1 miles,"Total miles accumulated by all active light duty vehicles including cars, light-duty pickup trucks, and minivans with a GVWR over 6,000 lbs. or less and 4 tires only in the fiscal year."
qfm32,Class 2 miles,"Total miles accumulated by all active light duty vehicles including SUVs, standard-size pickup trucks, and vans with a GVWR of 6,001 to 10,000 lbs. and 4 tires only in the fiscal year."
qfm33,Class 3 miles,"Total miles accumulated by all active medium duty vehicles including flat bed trucks, box trucks and extended bed cargo vans with a GVWR of 10,001 to 14,000 lbs. and 6 tires or more, in the fiscal year."
qfm34,Class 4 miles,"Total miles accumulated by all active medium duty vehicles including delivery vans, small buses, and conversion vans about the size of an ambulance with a GVWR or 14,001 to 16,001 lbs. and 6 tires or more, in the fiscal year."
qfm35,Class 5 miles,"Total miles accumulated by all active medium duty vehicles including RVs, dump trucks, or medium-size refrigerated trucks with a GVWR of 16,001 to 19,500 lbs. and 6 tires or more in the fiscal year."
qfm36,Class 6 miles,"Total miles accumulated by all active medium duty vehicles including buses, and medium size cargo or delivery trucks with a GVWR of 19,501 to 26,000 lbs. and 6 tires or more, in the fiscal year."
qfm37,Class 7 miles,"Total miles accumulated by all active heavy duty vehicles includes large delivery trucks and tractor-tailer combinations with a GVWR of 26,001 to 33,000 lbs. and 6 tires or more, in the fiscal year."
qfm38,Class 8 miles,"Total miles accumulated by all active heavy duty includes motor coaches, all tractor-tailer combinations, refuse trucks, and construction vehicles with a GVWR of 33,001 or more and 10 or more tires in the fiscal year."
qfm39,Class 9 hours,Total count hours of active off-road and construction equipment in the fiscal year.
qfm40,Days class 0 vehicles available,"Total number of days in the fiscal year (out of 365 days) all active non-self-propelled vehicles (e.g., trailers, rail chassis, etc.) as well as ATVs, two-wheelers, side-by-side motorcycles, lawn mowers, etc. were available in the fiscal year. For example, Vehicle A was available for 240 days, Vehicle B was available for 200 days, and Vehicle C was available for 160 days in FY 2022. The total number of days vehicles were available in FY 2023 would be 600 days."
qfm41,Days class 1 vehicles available,"Total number of days in the fiscal year (out of 365 days) all active light duty vehicles including cars, light-duty pickup trucks, and minivans with a GVWR over 6,000 lbs. or less and 4 tires only were available in the fiscal year. For example, Vehicle A was available for 240 days, Vehicle B was available for 200 days, and Vehicle C was available for 160 days in FY 2022. The total number of days vehicles were available in FY 2023 would be 600 days."
qfm42,Days class 2 vehicles available,"Total number of days in the fiscal year (out of 365 days) all active light duty vehicles including SUVs, standard-size pickup trucks, and vans with a GVWR of 6,001 to 10,000 lbs. and 4 tires only were available in the fiscal year. For example, Vehicle A was available for 240 days, Vehicle B was available for 200 days, and Vehicle C was available for 160 days in FY 2022. The total number of days vehicles were available in FY 2023 would be 600 days."
qfm43,Days class 3 vehicles available,"Total number of days in the fiscal year (out of 365 days) all active medium duty vehicles including flat bed trucks, box trucks and extended bed cargo vans with a GVWR of 10,001 to 14,000 lbs. and 6 tires or more, were available in the fiscal year. For example, Vehicle A was available for 240 days, Vehicle B was available for 200 days, and Vehicle C was available for 160 days in FY 2022. The total number of days vehicles were available in FY 2023 would be 600 days."
qfm44,Days class 4 vehicles available,"Total number of days in the fiscal year (out of 365 days) all active medium duty vehicles including delivery vans, small buses, and conversion vans about the size of an ambulance with a GVWR or 14,001 to 16,001 lbs. and 6 tires or more, were available in the fiscal year. For example, Vehicle A was available for 240 days, Vehicle B was available for 200 days, and Vehicle C was available for 160 days in FY 2022. The total number of days vehicles were available in FY 2023 would be 600 days."
qfm45,Days class 5 vehicles available,"Total number of days in the fiscal year (out of 365 days) all active medium duty vehicles including RVs, dump trucks, or medium-size refrigerated trucks with a GVWR of 16,001 to 19,500 lbs. and 6 tires or more were available in the fiscal year. For example, Vehicle A was available for 240 days, Vehicle B was available for 200 days, and Vehicle C was available for 160 days in FY 2022. The total number of days vehicles were available in FY 2023 would be 600 days."
qfm46,Days class 6 vehicles available,"Total number of days in the fiscal year (out of 365 days) all active medium duty vehicles including buses, and medium size cargo or delivery trucks with a GVWR of 19,501 to 26,000 lbs. and 6 tires or more, were available in the fiscal year. For example, Vehicle A was available for 240 days, Vehicle B was available for 200 days, and Vehicle C was available for 160 days in FY 2022. The total number of days vehicles were available in FY 2023 would be 600 days."
qfm47,Days class 7 vehicles available,"Total number of days in the fiscal year (out of 365 days) all active heavy duty vehicles includes large delivery trucks and tractor-tailer combinations with a GVWR of 26,001 to 33,000 lbs. and 6 tires or more, were available in the fiscal year. For example, Vehicle A was available for 240 days, Vehicle B was available for 200 days, and Vehicle C was available for 160 days in FY 2022. The total number of days vehicles were available in FY 2023 would be 600 days."
qfm48,Days class 8 vehicles available,"Total number of days in the fiscal year (out of 365 days) all active heavy duty includes motor coaches, all tractor-tailer combinations, refuse trucks, and construction vehicles with a GVWR of 33,001 or more and 10 or more tires were available in the fiscal year. For example, Vehicle A was available for 240 days, Vehicle B was available for 200 days, and Vehicle C was available for 160 days in FY 2022. The total number of days vehicles were available in FY 2023 would be 600 days."
qfm49,Days class 9 vehicles available,"Total number of days in the fiscal year (out of 365 days) all active off-road and construction equipment were available in the fiscal year. For example, Vehicle A was available for 240 days, Vehicle B was available for 200 days, and Vehicle C was available for 160 days in FY 2022. The total number of days vehicles were available in FY 2023 would be 600 days."
qfm50,Average age of class 0 vehicles,"Average age of active non-self-propelled vehicles (e.g., trailers, rail chassis, etc.) as well as ATVs, two-wheelers, side-by-side motorcycles, lawn mowers, etc. maintained in the fiscal year."
qfm51,Average age of class 1 vehicles,"Average age of active light duty vehicles including cars, light-duty pickup trucks, and minivans with a GVWR over 6,000 lbs. or less and 4 tires only maintained in the fiscal year."
qfm52,Average age of class 2 vehicles,"Average age of active light duty vehicles including SUVs, standard-size pickup trucks, and vans with a GVWR of 6,001 to 10,000 lbs. and 4 tires only maintained in the fiscal year."
qfm53,Average age of class 3 vehicles,"Average age of active medium duty vehicles including flat bed trucks, box trucks and extended bed cargo vans with a GVWR of 10,001 to 14,000 lbs. and 6 tires or more, maintained in the fiscal year."
qfm54,Average age of class 4 vehicles,"Average age of active medium duty vehicles including delivery vans, small buses, and conversion vans about the size of an ambulance with a GVWR or 14,001 to 16,001 lbs. and 6 tires or more, maintained in the fiscal year."
qfm55,Average age of class 5 vehicles,"Average age of active medium duty vehicles including RVs, dump trucks, or medium-size refrigerated trucks with a GVWR of 16,001 to 19,500 lbs. and 6 tires or more maintained in the fiscal year."
qfm56,Average age of class 6 vehicles,"Average age of active medium duty vehicles including buses, and medium size cargo or delivery trucks with a GVWR of 19,501 to 26,000 lbs. and 6 tires or more, maintained in the fiscal year."
qfm57,Average age of class 7 vehicles,"Average age of active heavy duty vehicles includes large delivery trucks and tractor-tailer combinations with a GVWR of 26,001 to 33,000 lbs. and 6 tires or more, maintained in the fiscal year."
qfm58,Average age of class 8 vehicles,"Average age of active heavy duty includes motor coaches, all tractor-tailer combinations, refuse trucks, and construction vehicles with a GVWR of 33,001 or more and 10 or more tires maintained in the fiscal year."
qfm59,Average age of class 9 vehicles,Average age of active off-road and construction equipment in the fiscal year.
qfm60,Count of all emergency vehicles,"Total number of active emergecy and pursuit rated vehicles maintained in the fiscal year. This includes all Law Enforcement, Fire Service, and  Emergency Medical Service vehicles."
qfm61,Labor hours for emergency vehicles,"Total number of in-shop labor hours spent to repair all emergency and pursuit rated vehicles. This includes all Law Enforcement, Fire Service, and  Emergency Medical Service vehicles."
qfm62,Average age of emergency vehicles,"Average age of all active emergency and pursuit rated vehicles. This includes all Law Enforcement, Fire Service, and  Emergency Medical Service vehicles."
qfm63,Repairs on emergency vehicles,"Total number of repairs made to emergency and pursuit rated vehicles. This metric only includes repairs made due to failure; it does NOT include planned maintenances. One work order might include multiple repairs. This includes all Law Enforcement, Fire Service, and  Emergency Medical Service vehicles."
qfm64,Emergency vehicle miles,"Total miles accumulated by all emergency and pursuit rated vehicles in the fiscal year. This includes all Law Enforcement, Fire Service, and  Emergency Medical Service vehicles."
qfm65,Billed hours,"Total number of hours actually billed for fleet maintenance activities in the fiscal year, including mechanical repairs."
qfm66,Work orders,"Total number of work orders entered during the fiscal year, including those related to contract work."
qfm67,Work orders completed within twenty-four hours,Total number of work orders int he fiscal year completed within twenty-four hours.
qfm68,Work orders outsourced,Total number of work orders completed by an external entity such as a vendor or another fleet maintenance department.
qfm69,Approved Fleet Maintenance Technician FTEs,"Total number of approved or budgeted full-time equivalent (FTE) technician positions, filled or unfilled, for the fiscal year. This metric includes all approved, regularly scheduled full-time positions and regular part-time positions that are eligible for full benefits (but does not include seasonal or part-time positions that are not eligible for full benefits)."
qfm70,Approved Admin FTEs,"Total number of approved or budgeted full-time equivalent (FTE) admin positions, filled or unfilled, for the fiscal year. This metric includes all approved, regularly scheduled full-time positions and regular part-time positions that are eligible for full benefits (but does not include seasonal or part-time positions that are not eligible for full benefits)."
qfm71,Personnel expenses for Fleet Maintenance,"Total amount of personnel expenses for fleet maintenance in the fiscal year. This includes gross earnings (all salaries and wages) of permanent and temporary employees subject to the Federal Insurance Contributions Act (FICA), the unit’s share of overtime and holiday pay, longevity pay, allowances, supplemental retirement income, Social Security taxes, retirement contributions, hospital and medical insurance, disability insurance, unemployment compensation, workers’ compensation contributions, deferred compensation, and other benefits.
."
qfm72,Operational expenses for Fleet Maintenance,"Total amount of operational expenses for fleet maintenance in the fiscal year. This includes non-capital outlay for equipment, tools, and software; expenses related to property or materials purchased for resale or the cost of goods sold; fees for training, travel, property maintenance, repairs, licenses, advertising, purchases, rentals, memberships, dues, utilities, data management/processing, MIS and GIS technologies, contracted services, contract administration, fuel, fleet maintenance, special programs, and sublet work; and all other operating expenses."
qfm72_01,Personnel expenses as a percentage of total Fleet Maintenance expenses,[Personnel expenses for Fleet Maintenance] divided by [Operational expenses for Fleet Maintenance] and multiplied by 100.
qfm72_02,Expenses for Fleet Maintenance per Capita,"[Operational expenses for Fleet Maintenance] divided by [Population, 2020]."
qfm72_03,Total expenses for Fleet Maintenance,[Personnel expenses for Fleet Maintenance] + [Operational expenses for Fleet Maintenance].
qfs01,Incidents,"Total number of all National Fire Incident Reporting System (NFIRS) code series 100s, 200s, 300s, 400s, 500s, 600s, 700s, 800s, and 900s incidents in the fiscal year."
qfs01_01,Incidents per capita,"[Incidents] divided by [Population, 2020]."
qfs01_02,Incidents per firefighter FTE,[Incidents] divided by [Approved firefighter FTEs].
qfs01_03,Total expenses per incident,[Total expenses for fire service] divided by [Incidents].
qfs02,Fires,Total number of fires (NFIRS codes 100 to 173) in the fiscal year.
qfs02_01,Fires per capita,"[Fires] divided by [Population, 2020]."
qfs02_02,Fires per firefighter FTE,[Fires] divided by [Approved firefighter FTEs].
qfs03,Structure fires,"Total number of structure fires (NFIRS codes 111 to 123) in the fiscal year. This includes any plus-one codes associated with incident types in that range (for example, a 1111 when sorted in a spreadsheet might appear at the bottom)."
qfs03_01,Structure fires as a percentage of total fires,[Structure fires] divided by [Fires] and multiplied by 100.
qfs04,Fires with undetermined cause ,Total number of structure fires (NFIRS codes 111 to 123) with a “Cause of Ignition” equal to Undetermined (U).
qfs04_01,Fires with undetermined cause as a percentage of structure fires,[Fires with undetermined cause] divided by [Structure fires] and multiplied by 100.
