Code,Name,Definition
qhr24_2,Total HR expenses per municipal FTE,[Total HR expenses] divided by [ Approved FTEs in municipal government]
qhr24_3,Total HR expenses per capita,[Total HR expenses] divided by [Population]
qec01,911 calls,Total number of 911 phone calls received in the fiscal year.
qec02,Admin calls,"Total number of 7-digit, or administrative line, phone calls received in the fiscal year."
qec03,Calls received from alarm companies,"Total number of calls received from alarm companies, either by phone or though the ASAP-PSAP service, in the fiscal year. The number includes all burglar alarms, panic alarms, fire alarms, medical alarms, and any other type of alarm."
qec04,Text to 911 calls,Total number of 911 calls received through text messaging (MMS/SMS/TTY/TDD) in the fiscal year.
qec05,Outgoing calls,"Total number of outgoing telephone calls made from the emergency communications center in the fiscal year. This number includes, but is not limited to, callbacks to 911 hangups, calls for additional resources such as tow trucks, callbacks to callers who are unable to be located, etc."
qec06,Percent 911 calls answered within 10 seconds,Percentage of incoming 911 calls in the fiscal year that were answered within ten seconds of the initial ring. This corresponds to the state statutory requirement standard for PSAP 911 Call Operating Procedures (09 NCAC 06C.0209).
qec07,Percent 911 calls answered within 20 seconds,Percentage of incoming 911 calls in the fiscal year that were answered within twenty seconds of the initial ring. This corresponds to the state statutory requirement standard for PSAP 911 Call Operating Procedures (09 NCAC 06C.0209).
qec08,Percent admin calls answered within 20 seconds,"Percentage of 7-digit, or administrative line, phone calls that were answered within twenty seconds. This corresponds to the state statutory requirement standard for PSAP 911 Call Operating Procedures (09 NCAC 06C.0209)."
qec09,Percent high priority emergency Fire calls that were answered and dispatched within 64 seconds.,"Percentage of high-priority emergency fire calls that were answered and dispatched within sixty-four seconds. NFPA Standard 1225 requires that 90 percent of all fire-related emergency calls be processed within sixty seconds. These calls include, but are not limited to, situations in which there is an imminent threat to life and/or in which significant property loss/damage is likely or actively occurring. They do not include HAZMAT calls, technical rescue calls, TTY/TDD calls, or calls requiring language translation."
qec10,Percent exempted Fire calls that were answered and dispatched within 90 seconds,"Percentage of exempted fire calls that were answered and dispatched within ninety seconds. NFPA Standard 1225 requires that 90 percent of exempted fire-related emergency calls be processed within ninety seconds for HAZMAT calls, technical rescue calls, TTY/TDD calls, and calls requiring language translation."
qec11,Percent EMS calls that were answered and dispatched within 90 seconds,Percentage of EMS calls that were answered and dispatched within ninety seconds. The NC Office of Emergency Medical Services (EMS) requires that 90 percent of all EMS events identified and classified as an emergent or hot (with lights and siren) response must be dispatched within ninety seconds.
qec12,Average time from answer to dispatch for high priority Law Enforcement calls,"Average time in seconds from answer to dispatch for Law Enforcement calls limited to shootings (to include active shooter and terrorist threat), stabbings, traffic accidents involving injury or death, armed robberies, in-progress assaults/sexual assaults, and in-progress domestic violence/abuse."
qec13,Calls for service dispatched,Total number of calls for service dispatched in the fiscal year. This number includes self-initiated events when the telecommunicator makes the call. It is not broken down by service agency.
qec14,Calls dispatched to Fire resources,Total number of calls dispatched to fire/rescue resources in the fiscal year.
qec15,Calls dispatched to EMS resources,"Total number of calls dispatched to EMS resources, including requests for stand-bys and calls dispatched to private ambulance resources, in the fiscal year."
qec16,Calls dispatched to Law Enforcement resources,"Total number of calls dispatched to law enforcement resources in the fiscal year, including, but not limited to, calls for special teams, calls for animal control, self-initiated calls, etc."
qec17,Information requests (optional),"Total number of requests received in the fiscal year for Computer-Aided Dispatch (CAD) reports, telephone-call recordings, radio recordings, etc."
qec18,Number of fire agencies,"The total number of volunteer, municipal, and town fire departments for which the PSAP provides dispatch services."
qec19,Number of EMS agencies,"The total number of volunteer, municipal, and town ems and rescue agencies for which the PSAP provides dispatch services."
qec20,Number of Law Enforcement agencies,The total number of law enforcement agencies for which the PSAP provides dispatch services.
qec21,Approved NC 911 Board funded seat count,Total number of seats funded by the NC 911 Board (the approved seat count).
qec22,Non-funded seat count,Total number of seats that are not funded by the NC 911 Board.
qec23,Call taking-only positions,Total number of positions in the emergency communications center that are designated to only take calls. These positions do not have dispatch capability.
qec24,Dispatch positions,Total number of dispatch positions in the emergency communications center. These positions may include dispatch-capable and call-taking positions.
qec25,Calls reviewed for EMD quality assurance,Total number of medical calls reviewed to ensure Emergency Medical Dispatch (EMD) protocol compliance in the fiscal year.
qec26,Hours of in-service training,"Total number of hours of mandatory in-service training that the agency provides for all emergency communications center employees (specifically, telecommunicators and dispatchers). This number reflects the total hours provided for each employee (for example, each employee has twenty-four hours of mandatory training each calendar year, and there are 10 employees, so the total is 240 hours of in-service training)."
qec27,Optional training sessions,"Total number of training events outside of mandatory in-service training. This number includes, but is not limited to, conferences, symposiums, and webinars. It reflects the total number of additional training sessions attended by the entire agency; for example, if five employees attend a conference, that would count as five optional training events."
qec28,Approved telecommunicator FTEs,"Total number of telecommunicator personnel approved for full-time equivalent (FTE) positions, filled or unfilled, in the fiscal year. This number includes all regularly scheduled full-time positions and regular part-time positions that are eligible for full benefits (but does not include seasonal or part-time positions that are not eligible for full benefits)."
qec31,Annual distribution amount from NC 911 Board,Total annual PSAP distribution amount received from the NC 911 Board. This amount likely varies from year to year.
qec32,Personnel expenses for Emergency Communications,"Total amount of personnel expenses for the emergency communications department in the fiscal year. This amount includes gross earnings (all salaries and wages) of permanent and temporary employees subject to the Federal Insurance Contributions Act (FICA), the unitâ€™s share of all overtime and holiday pay, longevity pay, allowances, supplemental retirement income, Social Security taxes, retirement contributions, hospital and medical insurances, disability insurances, unemployment compensation, workersâ€™-compensation contributions, deferred compensation, and other benefits."
qec33,Operational expenses for Emergency Communications,"Total amount of operational expenses for the emergency communications department in the fiscal year. This amount includes noncapital-outlay for equipment, tools, and software; expenses related to property or materials purchased for resale or the cost of goods sold; fees for training, travel, property maintenance, repairs, licenses, advertising, purchases, rentals, memberships, dues, utilities, data management/processing, MIS and GIS technologies, contracted services, contract administration, fuel, fleet maintenance, special programs, sublet work; and all other operating expenses."
qec01_1,911 calls per capita,[911 Calls] divided by [Population]
qec01_2,911 calls per approved telecomunicator FTE,[911 Calls] divided by [Approved telecommunicator FTEs]
qec02_1,Ratio of admin to 911 calls,[Admin Calls] divided by [911 Calls]
qec03_1,Ratio of alarm companies to 911 calls,[Calls recieved from alarm companies] divided by [911 Calls]
qec04_1,Ratio of Text to 911 calls,[Text to 911 Calls] divided by [911 Calls]
qec05_1,Ratio of outgoing to 911 calls,[Outgoing calls] divided by [911 Calls]
qec13_1,Service dispatches per capita,[Calls for service dispatched] divided by [Population]
qec14_1,Fire dispatched per capita,[Calls dispatched for fire resources] divided by [Population]
qec15_1,EMS dispatches per capita,[Calls dispatched for EMS resources] divided by [Population]
qec16_1,Law enforcement dispatches per capita,[Calls dispatched for Law enforcement resources] divided by [Population]
qec21_1,Approved NC 911 Board funded seat count per capita (x1000),[Approved NC 911 Board funded seat count] divided by [Population] multiplied by 1000
qec22_1,Ratio of non-funded seat count to approved FTEs,[Non-funded seat count] divided by [Approved telecommunicator FTEs]
qec23_1,Ratio of call taking-only positions to approved FTEs,[Call taking-only positions] divided by [Approved telecommunicator FTEs]
qec24_1,Ratio of dispatch positions to approved FTEs,[Dispatch Positions] divided by [Approved telecommunicator FTEs]
qec26_1,Hours of in-service training per approved FTE,[Hours of in-service training] divided by [Approved telecommunicator FTEs]
qec27_1,Optional training sessions per FTE,[Optional training ssessions] divided by [Approved telecommunicator FTEs]
qec28_1,Population served per approved telecommunicator FTE,[Population] divided by [Approved telecommunicator FTEs]
qec31_1,Percentage of expenses covered by NC 911 Board,[Annual distribution amount from NC 911 Board] Divided by [Total EC expenses] multiplied by 100
qec32_1,Emergency Communications personnel expenses as a percentage of total expenses,[Personnel expensses for Emergency Communications] Divided by [Total EC expenses] multiplied by 100
qec33_1,Total Emergency Communications expenses,[Personnel expensses for Emergency Communications] + [Operational expenses for Emergnecy Communications]
qec33_2,Total Emergency Communications expenses per capita,[Total EC expenses] divided by [Population]
qec33_3,Total Emergency Communications expenses per 911 call,[Total EC expenses] divided by [911 Calls]
qfs01,Incidents,"Total number of all National Fire Incident Reporting System (NFIRS) code 100s, 200s, 300s, 400s, 500s, 600s, 700s, 800s, and 900s."
qfs02,Fires reported,Total number of NFIRS 100s.
qfs03,Structure fires reported,"Total number of structure fires reported to the NFIRS (111 to 123). Please make sure to include any plus-one codes associated with incident types in that range (for example, a 1111 when sorted in a spreadsheet might be at the bottom)."
qfs04,Fires with undetermined cause,Total number of structure fires (NFIRS 111 to 123) with a â€œCause of Ignitionâ€ equal to Undetermined (U).
qfs05,Fires confined to rooms or objects of origin,"Structure fires (NFIRS 111 to 123) with a â€œFire Spreadâ€ equal to 1, 2, or N."
qfs06,Turnout time for the 90th percentile,Number of seconds elapsed from when a dispatcher alerts a fire unit of an emergency to when the unit leaves the fire station (as reported to the NFIRS).
qfs07,Dispatch time for the 90th percentile,Number of seconds from when a call is received to when a dispatcher alerts a fire unit. This metric includes â€œCall Pickup Timeâ€ and â€œCall Processing Timeâ€ (as reported to the NFIRS).
qfs08,Travel time for the 90th percentile,"Total travel time in seconds of the first arriving unit. The time interval begins when a unit is en route to an emergency incident and ends when the unit arrives at the scene. â€œEn routeâ€ may be tracked via CAD or radio notification or GPS marking (preferred).
"
qfs09,Response time for the 90th percentile,Total response time in seconds from when a call is received to when the first unit arrives on the scene. This metric includes â€œCall Pickup Timeâ€ and â€œCall Processing Timeâ€ (as reported to the NFIRS). It is also referred to as â€œTotal Response Time 1st Unitâ€ by accreditation agencies.
qfs10,Time from arrival to first water on fire (optional),Number of seconds from when the first apparatus with suppression capabilities arrives to when â€œwater on fireâ€ is announced by the primary attack line or incident commander. (This is timestamped by the dispatch center and added to the CAD incident report.) This measure is not required by the NFIRS.
qfs11,Time from arrival to incident stabilization (optional),"Number of seconds from when the first suppression unit arrives to when the situation is reported to be under control or the process of loss has been stopped. (This is timestamped by the dispatch center and added to the CAD incident report.) For a structure fire, this is commonly accepted to be the stop loss or â€œcontrol time.â€ For a vehicle accident with entrapment, this is commonly accepted to be the extrication time. â€œUnder controlâ€ is a tactical benchmark that is typically captured in the CAD notes that are kept during an emergency event. This measure is not required by the NFIRS."
qfs12,Approved firefighter FTEs,"Total number of sworn firefighter full-time equivalent (FTE) positions budgeted and approved for the fiscal year. An FTE works 2080 hours per year, or as counted in your department, allowing for differences caused by shift schedules."
qfs15,Firefighter injuries,"Total number of firefighter injuries in the fiscal year, as reported to the NFIRS."
qfs16,Firefighter deaths,"Total number of firefighter deaths in the fiscal year, as reported to the NFIRS."
qfs17,Civilian injuries,"Total number of civilian injuries due to fire incidents in the fiscal year, as reported to the NFIRS."
qfs18,Civilian deaths,"Total number of civilian deaths due to fire incidents in the fiscal year, as reported to the NFIRS."
qfs19,Average fleet age of apparatus,"Average age of all frontline and reserve fleet apparatus (based on manufacture date). â€œFrontlineâ€ and â€œreserve,â€ as defined by the Insurance Service Office (ISO), are pumpers, ladders, and service apparatus. Battalion vehicles and other support trucks are excluded."
qfs20,Percent downtime of riggs,Percentage downtime of frontline apparatus due to maintenance. This figure is calculated by dividing the total hours of downtime by the product of total frontline apparatuses multiplied by the hours in a year. Multiply that number by 100 for the final percentage. The formula is: [(total downtime hours/(number of apparatus*8760))*100].
qfs21,Code violations,Total number of code violations recorded by the department in the fiscal year.
qfs22,Code violations cleared within 90 days,Total number of code violations cleared within a three-month span in the fiscal year.
qfs23,State-mandated 1-year inspections due,"Total number of state-mandated one-year inspections due in the fiscal year. This metric applies to assembly areas (restaurants, clubs, gyms, places of entertainment, etc.); hazardous-materials facilities (containing hazardous materials, flammable liquids, explosives, etc.); high-rise buildings (all use types); institutional facilities (hospitals, nursing homes, licensed-care facilities, jails, etc.); and residential locations (apartments, hotels, motels, dormitories, etc.)."
qfs24,State-mandated 1-year inspections completed,"Total number of state-mandated one-year inspections completed in the fiscal year, as reported to the state."
qfs25,State-mandated 2-year inspections due,"Total number of state-mandated two-year inspections due in the fiscal year. This metric applies to educational facilities (private schools, etc.); public schools (inspected every six months); and industrial facilities (factories, manufacturing plants, assembly plants, etc.)."
qfs26,State-mandated 2-year inspections completed,"Total number of state-mandated two-year inspections completed in the fiscal year, as reported to the state."
qfs27,State-mandated 3-year inspections due,"Total number of state-mandated three-year inspections due in the fiscal year. This metric applies to assembly areas with an occupant load of less than 100; business locations (banks, barber shops, beauty shops, gas stations, educational occupancies above the twelfth grade, print shops, professional-service officesâ€”e.g., architects, attorneys, dentists, physicians, engineers, etc.); mercantile facilities (department stores, drugstores, markets, retail or wholesale stores, etc.); miscellaneous facilities (tanks, silos, greenhouses, etc.); religious facilities (churches, synagogues, etc.); and storage facilities (warehouses, garages, hangars, etc.)."
qfs28,State-mandated 3-year inspections completed,"Total number of state-mandated three-year inspections completed in the fiscal year, as reported to the state."
qfs29,Inspectable square footage,"Total area in square feet of a building or space in the municipality that is subject to examination by fire officials or inspectors for compliance with fire safety regulations. This metric, the inspectable square footage, includes all accessible and relevant areas, such as rooms, corridors, stairwells, common areas, storage spaces, and mechanical rooms."
qfs30,People reached through educational activities in person (optional),"Total number of people reached through in-person educational activities (optional). This metric follows the Insurance Service Office (ISO) guidelines, which include all types of public education outreach."
qfs31,People reached through educational activities online (optional),"Total number of people reached through online educational activities (optional). This metric follows the Insurance Service Office (ISO) guidelines, which include all types of public education outreach. It includes analytics for social media posts on public education topics."
qfs32,Amount spent on preventative measures,"Total dollars spent in the fiscal year on fire-prevention measures, including staff (code-enforcement officers, life-safety educators, and community-outreach personnel); risk-reduction supplies (handout literature, sprinkler installation, videos, and signage); and monies spent for training and conference attendance."
qfs33,CPRs administered,Total number of CPR or defibrillation procedures performed by fire personnel in the fiscal year.
qfs34,Successful CPRs,"Total number of instances in the fiscal year in which an individual experiences a return of spontaneous circulation (ROSC) because of fire-personnel intervention (using CPR, a defibrillator, etc.)."
qfs35,Approved administration FTEs,"Total number of administrative full-time equivalent (FTE) positions approved or budgeted in the fiscal year. This metric includes all non-sworn support staff as well as current and former line firefighters in nonoperational administrative primary roles, such as training, FMO, logistics, GIS, IT, etc. It also includes all primary administrative (nonoperational) positions that respond to emergencies when needed."
qfs36,Personnel expenses for Fire Service,"Total amount of personnel expenses for fire services in the fiscal year. This amount includes gross earnings (all salaries and wages) of permanent and temporary employees subject to the Federal Insurance Contributions Act (FICA), the unitâ€™s share of all overtime and holiday pay, longevity pay, allowances, supplemental retirement income, Social Security taxes, retirement contributions, hospital and medical insurances, disability insurances, unemployment compensation, workersâ€™-compensation contributions, deferred compensation, and other benefits."
qfs37,Operational expenses for Fire Service,"Total amount of operational expenses for fire services in the fiscal year. This amount includes noncapital-outlay for equipment, tools, and software; expenses related to property or materials purchased for resale or the cost of goods sold; fees for training, travel, property maintenance, repairs, licenses, advertising, purchases, rentals, memberships, dues, utilities, data management/processing, MIS and GIS technologies, contracted services, contract administration, fuel, fleet maintenance, special programs, sublet work; and all other operating expenses.
"
qfs01_1,Incidents per capita,[Incidents] divided by [ Population]
qfs01_2,Incidents per aproved firefighter FTE,[Incidents] divided by [Approved firefighter FTEs]
qfs02_1,Fires reported per capita (x1000),[Fires reported] divided by [Population] multiplied by 1000
qfs02_2,Fires reported as a percentage of incidents,[Fires reported] divided by [Incidents]
qfs03_1,Structure fires reported per capita (x1000),[Structure fires reported] divided by [Population] multiplied by 1000
qfs04_1,Fires with undetermined cause per capita (x1000),[Fires with undetermined cause] divided by [Population] multiplied by 1000
qfs05_1,Percentage of fires confined to rooms or objects of origin,[Fires confined to rooms or objects of origin] divided by [Fires reported] multiplied by 100
qfs12_1,Population served per approved firefighter FTE,[Population] divided by [Approved firefighter FTEs]
qfs15_1,Firefighter injuries per fire reported,[Firefighter injuries] divided by [fires reported]
qfs16_1,Firefighter deaths per fire reported,[Firefighter deaths] divided by [Fires reported]
qfs17_1,Civilian injuries per fire reported,[Civillian injuries] divided by [Fires reported]
qfs18_1,Civilian deaths per fire reported,Civilian Deaths] divided by [Fires reported]
qfs21_1,Code violations per capita,[Code violations] divided by [Population]
qfs22_1,Percentage of code violations cleared within 90 days,[Code violations cleared within 90 days] divided by [Code violations] mulitplied by 100
qfs23_1,State-mandated 1-year inspections per capita (x1000),[State-mandated 1-year inspections due] divided by [Population] multiplied by 1000
qfs24_1,Percentage of 1-year inspections completed,[State-mandated 1-year inspections completed] divided by [State-mandated 1-year inspections] multiplied by 100
qfs25_1,State-mandated 2-year inspections per capita (x1000),[State-mandated 2-year inspections due] divided by [Population] multiplied by 1000
qfs26_1,Percentage of 2-year inspections completed,[State-mandated 2-year inspections due] divided by [State-mandated 2-year inspections] multiplied by 100
qfs27_1,State-mandated 3-year inspections per capita (x1000),[State-mandated 3-year inspections due] divided by [Population] multiplied by 1000
qfs28_1,Percentage of 3-year inspections completed,[State-mandated 3-year inspections due] divided by [State-mandated 3-year inspections] multiplied by 100
qfs29_1,Inspectable square footage per capita,[Inspectable square footage] divided by [Population]
qfs32_1,Percentage of expenses spent on preventative measures,[Amount spent on preventative measures] divided by [Total expenses] multiplied by 100
qfs33_1,CPRs administered per capita (x1000),[CPRs administered] divided by [Population] multiplied by 1000
qfs34_1,Percentage of successful CPRs,[Successful CPRs] divided by [CPRs administered] multiplied by 100
qfs35_1,Ratio of approved admin to firefighter FTEs,[Approved administration FTEs] divided by [Approved firefighter FTEs]
qfs36_1,Fire service personnel expenses as a percentage of total expenses,[Personnel expenses for Fire Service] divided by [Total fire service expenses] multiplied by 100
qfs37_1,Total fire service expenses,[Personnel expenses for fire service] + [Operational expenses for fire service]
qfs37_2,Total fire service expenses per capita,[Total fire service expenses] divided by [Population]
qfs37_3,Total fire service expenses per incident,[Total fire service expenses] divided by [Incidents]
qfm01,Count of class 0 vehicles,"Total number of active non-self-propelled vehicles (e.g., trailers, rail chassis, etc.) maintained in the fiscal year."
qfm02,Count of class 1 vehicles,"Total number of active vehicles < 6000 GVW maintained in the fiscal year. This includes ATVs, two-wheelers, side-by-side motorcycles, four-wheelers, lawn mowers, etc."
qfm03,Count of class 2 vehicles,"Total number of active vehicles 6001â€“10,000 GVW maintained in the fiscal year."
qfm04,Count of class 3 vehicles,"Total number of active vehicles 10,001â€“14,000 GVW maintained in the fiscal year."
qfm05,Count of class 4 vehicles,"Total number of active vehicles 14,001â€“16,000 GVW maintained in the fiscal year."
qfm06,Count of class 5 vehicles,"Total number of active vehicles 16,001â€“19,500 GVW maintained in the fiscal year."
qfm07,Count of class 6 vehicles,"Total number of active vehicles 19,501â€“26,000 GVW maintained in the fiscal year."
qfm08,Count of class 7 vehicles,"Total number of active vehicles 26,001â€“33,000 GVW maintained in the fiscal year."
qfm09,Count of class 8 vehicles,"Total number of active vehicles > 33,000 GVW maintained in the fiscal year."
qfm10,Count of class 9 vehicles,Total count of active off-road and construction equipment.
qfm11,Labor hours for class 0 vehicles,"Total number of in-shop labor hours spent to repair all non-self-propelled vehicles (e.g., trailers, rail chassis, etc.)."
qfm12,Labor hours for class 1 vehicles,"Total number of in-shop labor hours spent to repair all vehicles < 6000 GVW. This includes ATVs, two-wheelers, side-by-side motorcycles, four-wheelers, lawn mowers, etc."
qfm13,Labor hours for class 2 vehicles,"Total number of in-shop labor hours spent to repair all vehicles 6001â€“10,000 GVW."
qfm14,Labor hours for class 3 vehicles,"Total number of in-shop labor hours spent to repair all vehicles 10,001â€“14,000 GVW."
qfm15,Labor hours for class 4 vehicles,"Total number of in-shop labor hours spent to repair all vehicles 14,001â€“16,000 GVW."
qfm16,Labor hours for class 5 vehicles,"Total number of in-shop labor hours spent to repair all vehicles 16,001â€“19,500 GVW."
qfm17,Labor hours for class 6 vehicles,"Total number of in-shop labor hours spent to repair all vehicles 19,501â€“26,000 GVW."
qfm18,Labor hours for class 7 vehicles,"Total number of in-shop labor hours spent to repair all vehicles 26,001â€“33,000 GVW."
qfm19,Labor hours for class 8 vehicles,"Total number of in-shop labor hours spent to repair all vehicles > 33,000 GVW."
qfm20,Labor hours for class 9 vehicles,Total number of in-shop labor hours spent to repair all off-road and construction equipment.
qfm21,Average age of class 0 vehicles,"Average age of active non-self-propelled vehicles (e.g., trailers, rail chassis, etc.)."
qfm22,Average age of class 1 vehicles,"Average age of active vehicles < 6000 GVW. This includes ATVs, two-wheelers, side-by-side motorcycles, four-wheelers, lawn mowers, etc."
qfm23,Average age of class 2 vehicles,"Average age of active vehicles 6001â€“10,000 GVW."
qfm24,Average age of class 3 vehicles,"Average age of active vehicles 10,001â€“14,000 GVW."
qfm25,Average age of class 4 vehicles,"Average age of active vehicles 14,001â€“16,000 GVW."
qfm26,Average age of class 5 vehicles,"Average age of active vehicles 16,001â€“19,500 GVW."
qfm27,Average age of class 6 vehicles,"Average age of active vehicles 19,501â€“26,000 GVW."
qfm28,Average age of class 7 vehicles,"Average age of active vehicles 26,001â€“33,000 GVW."
qfm29,Average age of class 8 vehicles,"Average age of active vehicles > 33,000 GVW."
qfm30,Average age of class 9 vehicles,Average age of active off-road and construction equipment.
qfm31,Repairs on class 0 vehicles,"Total number of repairs made to non-self-propelled vehicles (e.g., trailers, rail chassis, etc.). This metric only includes repairs made due to failure; it does NOT include planned maintenances. One work order might include multiple repairs."
qfm32,Repairs on class 1 vehicles,"Total number of repairs made to vehicles < 6000 GVW. This metric only includes repairs made due to failure; it does NOT include planned maintenances. One work order might include multiple repairs. This includes ATVs, two-wheelers, side-by-side motorcycles, four-wheelers, lawn mowers, etc."
qfm33,Repairs on class 2 vehicles,"Total number of repairs made to vehicles 6001â€“10,000 GVW. This metric only includes repairs made due to failure; it does NOT include planned maintenances. One work order might include multiple repairs."
qfm34,Repairs on class 3 vehicles,"Total number of repairs made to vehicles 10,001â€“14,000 GVW. This metric only includes repairs made due to failure; it does NOT include planned maintenances. One work order might include multiple repairs."
qfm35,Repairs on class 4 vehicles,"Total number of repairs made to vehicles 14,001â€“16,000 GVW. This metric only includes repairs made due to failure; it does NOT include planned maintenances. One work order might include multiple repairs."
qfm36,Repairs on class 5 vehicles,"Total number of repairs made to vehicles 16,001â€“19,500 GVW. This metric only includes repairs made due to failure; it does NOT include planned maintenances. One work order might include multiple repairs."
qfm37,Repairs on class 6 vehicles,"Total number of repairs made to vehicles 19,501â€“26,000 GVW. This metric only includes repairs made due to failure; it does NOT include planned maintenances. One work order might include multiple repairs."
qfm38,Repairs on class 7 vehicles,"Total number of repairs made to vehicles 26,001â€“33,000 GVW. This metric only includes repairs made due to failure; it does NOT include planned maintenances. One work order might include multiple repairs."
qfm39,Repairs on class 8 vehicles,"Total number of repairs made to vehicles > 33,000 GVW. This metric only includes repairs made due to failure; it does NOT include planned maintenances. One work order might include multiple repairs."
qfm40,Repairs on class 9 vehicles,Total number of repairs made to off-road and construction equipment. This metric only includes repairs made due to failure; it does NOT include planned maintenances. One work order might include multiple repairs.
qfm41,Class 1 miles,"Total miles accumulated by all vehicles < 6000 GVW. This includes ATVs, two-wheelers, side-by-side motorcycles, four-wheelers, lawn mowers, etc."
qfm42,Class 2 miles,"Total miles accumulated by all vehicles 6001â€“10,000 GVW."
qfm43,Class 3 miles,"Total miles accumulated by all vehicles 10,001â€“14,000 GVW."
qfm44,Class 4 miles,"Total miles accumulated by all vehicles 14,001â€“16,000 GVW."
qfm45,Class 5 miles,"Total miles accumulated by all vehicles 16,001â€“19,500 GVW."
qfm46,Class 6 miles,"Total miles accumulated by all vehicles 19,501â€“26,000 GVW."
qfm47,Class 7 miles,"Total miles accumulated by all vehicles 26,001â€“33,000 GVW."
qfm48,Class 8 miles,"Total miles accumulated by all vehicles > 33,000 GVW."
qfm49,Class 9 hours,Total hours accumulated by all off-road and construction equipment.
qfm50,Days class 0 vehicles available,"Total number of days all active non-self-propelled vehicles were available in the fiscal year. (For example, Vehicle A was available for 240 days, Vehicle B was available for 200 days, and Vehicle C was available for 160 days in FY 2022. The total number of days vehicles were available in FY 2023 would be 600 days.)"
qfm51,Days class 1 vehicles available,"Total number of days all active vehicles < 6000 GVW were available in the fiscal year. This includes ATVs, two-wheelers, side-by-side motorcycles, four-wheelers, lawn mowers, etc.  (For example, Vehicle A was available for 240 days, Vehicle B was available for 200 days, and Vehicle C was available for 160 days in FY 2022. The total number of days vehicles were available in FY 2023 would be 600 days.)"
qfm52,Days class 2 vehicles available,"Total number of days all active vehicles 6001â€“10,000 GVW were available in the fiscal year. (For example, Vehicle A was available for 240 days, Vehicle B was available for 200 days, and Vehicle C was available for 160 days in FY 2022. The total number of days vehicles were available in FY 2023 would be 600 days.)"
qfm53,Days class 3 vehicles available,"Total number of days all active vehicles 10,001â€“14,000 GVW were available in the fiscal year. (For example, Vehicle A was available for 240 days, Vehicle B was available for 200 days, and Vehicle C was available for 160 days in FY 2022. The total number of days vehicles were available in FY 2023 would be 600 days.)"
qfm54,Days class 4 vehicles available,"Total number of days all active vehicles 14,001â€“16,000 GVW were available in the fiscal year. (For example, Vehicle A was available for 240 days, Vehicle B was available for 200 days, and Vehicle C was available for 160 days in FY 2022. The total number of days vehicles were available in FY 2023 would be 600 days.)"
qfm55,Days class 5 vehicles available,"Total number of days all active vehicles 16,001â€“19,500 GVW were available in the fiscal year. (For example, Vehicle A was available for 240 days, Vehicle B was available for 200 days, and Vehicle C was available for 160 days in FY 2022. The total number of days vehicles were available in FY 2023 would be 600 days.)"
qfm56,Days class 6 vehicles available,"Total number of days all active vehicles 19,501â€“26,000 GVW were available in the fiscal year. (For example, Vehicle A was available for 240 days, Vehicle B was available for 200 days, and Vehicle C was available for 160 days in FY 2022. The total number of days vehicles were available in FY 2023 would be 600 days.)"
qfm57,Days class 7 vehicles available,"Total number of days all active vehicles 26,001â€“33,000 GVW were available in the fiscal year. (For example, Vehicle A was available for 240 days, Vehicle B was available for 200 days, and Vehicle C was available for 160 days in FY 2022. The total number of days vehicles were available in FY 2023 would be 600 days.)"
qfm58,Days class 8 vehicles available,"Total number of days all active vehicles > 33,000 GVW were available in the fiscal year. (For example, Vehicle A was available for 240 days, Vehicle B was available for 200 days, and Vehicle C was available for 160 days in FY 2022. The total number of days vehicles were available in FY 2023 would be 600 days.)"
qfm59,Days class 9 vehicles available,"Total number of days all active off-road and construction equipment were available in the fiscal year. (For example, Vehicle A was available for 240 days, Vehicle B was available for 200 days, and Vehicle C was available for 160 days in FY 2022. The total number of days vehicles were available in FY 2023 would be 600 days.)"
qfm60,Billable hours,"Total number of fleet maintenance billable hours in the fiscal year, including all hours for technicians except for any time a position was vacant. To calculate billable hours, multiply 2,080 (hours) by the number of technician full-time equivalents (FTEs). If a position was vacant for a portion of the year, deduct the vacant hours from the 2,080 for that position."
qfm61,Billed hours,"Total number of hours actually billed for fleet maintenance activities in the fiscal year, including mechanical repairs."
qfm62,Work orders,"Total number of work orders entered during the fiscal year, including those related to contract work."
qfm63,Work orders completed within twenty-four hours,Total number of work orders completed within twenty-four hours.
qfm64,Work orders requiring repeat repairs within 30 days,Total number of repeat repairs (failures) of the same component occurring within thirty days of the work order.
qfm65,Work orders outsourced,Total number of work orders completed by an external entity such as a vendor or another fleet maintenance department.
qfm66,Preventative maintenances scheduled,"Total number of preventative maintenances (PMs) scheduled in each category during the fiscal year, including state inspections."
qfm67,Preventative maintenances completed as scheduled,Total number of PMs that were completed on schedule.
qfm68,Approved Fleet Maintenance FTEs,"Total number of approved or budgeted full-time equivalent (FTE) positions, filled or unfilled, for the fiscal year. This metric includes all approved, regularly scheduled full-time positions and regular part-time positions that are eligible for full benefits (but does not include seasonal or part-time positions that are not eligible for full benefits)."
qfm71,Personnel expenses for Fleet Maintenance,"Total amount of personnel expenses for the fleet maintenance department in the fiscal year. This amount includes gross earnings (all salaries and wages) of permanent and temporary employees subject to the Federal Insurance Contributions Act (FICA), the unitâ€™s share of all overtime and holiday pay, longevity pay, allowances, supplemental retirement income, Social Security taxes, retirement contributions, hospital and medical insurances, disability insurances, unemployment compensation, workersâ€™-compensation contributions, deferred compensation, and other benefits. 
"
